urn|textgroup|groupname_eng|has_mads|mads_possible|notes|urn_status|created_by|edited_by
urn:cite:perseus:cattg.49.1|urn:cts:greekLit:tlg0058|Aeneas Tacticus|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.50.1|urn:cts:greekLit:tlg0059|Plato|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.51.1|urn:cts:greekLit:tlg0060|Diodorus Siculus|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.52.1|urn:cts:greekLit:tlg0061|Philostratus, the Athenian, 2nd/3rd cent|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.53.1|urn:cts:greekLit:tlg0062|Lucian|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.54.1|urn:cts:greekLit:tlg0066|Dicaearchus, Messenius, 4th cent. B.C|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.55.1|urn:cts:greekLit:tlg0074|Arrian|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.56.1|urn:cts:greekLit:tlg0076|Zelotus Epigrammaticus Person der Antike|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.57.1|urn:cts:greekLit:tlg0081|Dionysius of Halicarnassus|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.58.1|urn:cts:greekLit:tlg0083|Dionysius, of Byzantium|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.59.1|urn:cts:greekLit:tlg0084|Dionysius, Periegetes|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.60.1|urn:cts:greekLit:tlg0085|Aeschylus|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.61.1|urn:cts:greekLit:tlg0086|Aristotle|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.62.1|urn:cts:greekLit:tlg0088|Westphal, Rudolf, 1826-1892|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.63.1|urn:cts:greekLit:tlg0091|Xenocritus Rhodius ca. 1. Jh. v. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.64.1|urn:cts:greekLit:tlg0092|Anonymi Geographiae Expositio Compendiaria|false|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.65.1|urn:cts:greekLit:tlg0093|Theophrastus|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.66.1|urn:cts:greekLit:tlg0094|Pseudo-Plutarch|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.67.1|urn:cts:greekLit:tlg0096|Aesop|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.68.1|urn:cts:greekLit:tlg0099|Strabo|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.69.1|urn:cts:greekLit:tlg0101|Aceratus Epigrammaticus 1. Jh. n. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.70.1|urn:cts:greekLit:tlg0102|Adaeus Macedo 1. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.71.1|urn:cts:greekLit:tlg0103|Aemilianus Rhetor, 1. Jh. n. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.72.1|urn:cts:greekLit:tlg0104|Aeschines Rhet|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.73.1|urn:cts:greekLit:tlg0105|Agis Epigrammaticus 3./2. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.74.1|urn:cts:greekLit:tlg0106|Alcaeus Messenius 3./2. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.75.1|urn:cts:greekLit:tlg0107|Alexander Magnes 1 Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.76.1|urn:cts:greekLit:tlg0108|Alpheus Mytilenensis 1. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.77.1|urn:cts:greekLit:tlg0109|Ammianus Epigrammaticus 1./2. Jh|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.78.1|urn:cts:greekLit:tlg0110|Ammonides Epigrammaticus ca. 3. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.79.1|urn:cts:greekLit:tlg0111|Andronicus Epigrammaticus 3. Jh. v. Chr./1. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.80.1|urn:cts:greekLit:tlg0112|Antiochus Epigrammaticus 1./2. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
