Authors	Perseus Author Name	Author-Abbreviation (LSJ)	Author Abbreviation (OLD)	Author Abbreviation (Lewis & Short)	Work Title	Abbreviated Work Title	OLD Edition	P	Loeb Edition	P	Teubner edition	P	Status	ABOS	STOA	PHI	TLG	Date Created	Other (bhl, Perseus)	Authority Record	Created one/Enhanced existing one	Smith or Making of America location	Notes
Aeschylus					Prometheus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0085,003	none	none	0085.003	472-456BCE		``	n.a.		
Aeschylus					Seven Against Thebes 								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0085,004	none	none	0085.004	467BCE		``	n.a.		
Aeschylus					Agamemnon								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0085,005	none	none	0085.005	458BCE		``	n.a.		
Aeschylus					Libation-Bearers								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0085,006	none	none	0085.006	458BCE		``	n.a.		
Aeschylus					Eumenides								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0085,007	none	none	0085.007	458BCE		``	n.a.		
Aeschylus					Fragments								new collection	none	none	none	0085.008			``	n.a.		
Aeschylus					Fragmentum (Iambic et Elegaic)								new collection	none	none	none	0085.009			``	n.a.		
Aeschylus					Epigrammata								new collection	none	none	none	0085.010			``	n.a.		
Aeschylus 					Fragmenta (TGF)								new collection	none	none	none	0085.011			``	n.a.		
Aeschylus Alexandrinus					Fragmenta (TGF)								new collection	none	none	none	0321.001			yes(Dnb)	yes		
Aesopus					Fabulae								new collection	none	none	none	0096.002			yes	n.a.		
Aesopus					Epigrammata								new collection	none	none	none	0096.014			``	``		
Aetius, of Amida					Iatricorum Book XI								new collection	none	none	none	0718.011			yes	need to enhance		
Afranius, Lucius					Togatae								new collection	none	none	404.1	none			yes	n.a.		
Agennius, Urbicus 4./5. Jh. n. Chr					De Controversis Agrorum								new collection	none	stoa0012a-stoa001	none	none			yes	need to enhance		
Agennius, Urbicus 4./5. Jh. n. Chr					In Julius Frontinus Commentariorum De agrorum qualitate								new collection	none	stoa0012a-stoa002	none	none			``	```		
Agennius, Urbicus 4./5. Jh. n. Chr					In Julius Frontinus Commentariorum De controversiis agrorum								new collection	none	stoa0012a-stoa003	none	none			``	``		
Agennius, Urbicus 4./5. Jh. n. Chr					Liber Diazografus								new collection	none	stoa0012a-stoa004	none	none			``	``		
Agathias Scholasticus					Historiae								new collection	none	none	none	4024.001			yes	n.a.		
Agathias Scholasticus					Epigrammata								new collection	none	none	none	4024.002			``	``	http://www.ancientlibrary.com/smith-bio/0071.html	
Agathon (Pseudo)					Epigramma 								new collection	none	none	none	1775.001			yes (dnb)	yes	http://orlabs.oclc.org/viaf/DNB|102378371, http://www.ancientlibrary.com/smith-bio/0074.html	
Agathon Tragicus					Fragmenta								new collection	none	none	none	0318.001			yes(dnb)	n.a.		
Agathyllus Arcas					Fragmentum								new collection	none	none	none	2606.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0075.html	
Agis					Epigrammata								new collection	none	none	none	0105.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0082.html	
Agrippa, Marcus Vipsanius					De Vita Sua								new collection	none	stoa0013a-stoa001	none	none			yes	n.a.		
Agrippina					Fragmenta								new collection	none	stoa0013b-stoa001	none	none			yes	n.a.		
Alain De Lille 					De Planctu Naturae								new collection	none	stoa0015-stoa001	none	none			yes	n.a.		
Albinovanus Pedo 					Carmina								new collection	none	none	800.1	none			yes	n.a.		
Albinus					Rerum Romanarum Liber I								new collection	none	none	2002.1	none			no	yes	Created a record, unable to determine which Albinus this us, PHI simply lists Albinus poet	
