Authors	Perseus Author Name	Author-Abbreviation (LSJ)	Author Abbreviation (OLD)	Author Abbreviation (Lewis & Short)	Work Title	Abbreviated Work Title	OLD Edition	P	Loeb Edition	P	Teubner edition	P	Status	ABOS	STOA	PHI	TLG	Date Created	Other (bhl, Perseus)	Authority Record	Created one/Enhanced existing one	Smith or Making of America location	Notes
Ausonius					Parentalia								new collection	none	stoa0045-stoa022	none	none			``	n.a.		
Ausonius					Periochae Iliadis								new collection	none	stoa0045-stoa023	none	none			``	n.a.		
Ausonius					Periochae Odyssiae								new collection	none	stoa0045-stoa024	none	none			``	n.a.		
Ausonius					Praefatiunculae								new collection	none	stoa0045-stoa025	none	none			``	n.a.		
Ausonius					Precationes								new collection	none	stoa0045-stoa026	none	none			``	n.a.		
Ausonius					Versus Paschales Prosodic								new collection	none	stoa0045-stoa027	none	none			``	n.a.		
Ausonius					Technopaegnion								new collection	none	stoa0045-stoa028	none	none			``	n.a.		
Ausonius					Septem Sapientum Sententiae								new collection	none	none	9500.27	none			``	n.a.		
Ausonius					Italorum S. XV Epigrammata								new collection	none	stoa0045-stoa030	none	none			``	n.a.		
Ausonius (Pseudo)					Carmina Varia								new collection	none	stoa0045-stoa029	none	none			``	n.a.		
Autocrates					Fragmenta								new collection	none	none	none	0423.001			yes(dnb)	yes	http://www.brillonline.nl/subscriber/entry?entry=bnp_e210140, http://orlabs.oclc.org/viaf/DNB|102382751	Smith, Vol 1, pg. 446, an Athenian, a poet of the Old Comedy
Autolycus					De sphaera quae movetur								new collection	none	none	none	1210.001			yes(dnb)	yes	http://www.brillonline.nl/subscriber/entry?entry=bnp_e210180	"Smith, Vol 1, pg. 447, ""Autolycus,"" mathemeticican Brill: Autolycus, 3"
Autolycus					De ortibus et occasibus								new collection	none	none	none	1210.002			``	``		
Automedon					Epigrammata								new collection	none	none	none	0140.001			yes(dnb)	yes	http://ancientlibrary.com/smith-bio/0456.html	
Avianus					Fabulae-Selections								new collection	none	stoa0046-stoa001	none	none			yes	n.a.		
Avienus					Carmen ad Flavianum								new collection	none	stoa0047-stoa001	none	none			``	``		
Avienus					Carmen ad Nortiam								new collection	none	stoa0047-stoa002	none	none			``	``		
Avienus					Ora Maritima								new collection	none	stoa0047-stoa003	none	none						
Avienus					Descriptio Orbis Terrae								new collection	none	stoa0047-stoa004	none	none						
Avienus					Aratea  								new collection	none	stoa0047-stoa005	none	none						
Avitus, Gallonius					Allocutio Sponsalis								new collection	none	stoa0047b-stoa001	none	none			no	yes	http://www.ancientlibrary.com/smith-bio/0444.html	
Avitus, Saint					Poematum De Mosaicae Historiae Gestis. Selections.								new collection	none	stoa0047a-stoa001	none	none			yes	n.a.		
Axionicus					Fragmenta								new collection	none	none	none	0424.001			yes	yes		
Babrius					Fabulae Aesopeae								new collection	none	none	none	0614.001			yes	n.a.		
Bacchius Senex					Isagoge Artis Musicae								new collection	none	none	none	2136.001			yes	``		
Bacchylides					Epinicia								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0199,001	none	none	0199.001	480BCE-450BCE		yes	n.a.		
Bacchylides					Dithyrambi								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0199,002	none	none	0199.002	480BCE-450BCE		``	n.a.		
Bacchylides					Skolia								new collection	none	none	none	0199.007			``	n.a.		
Bacchylides					Epinicorum fragmenta								new collection	none	none	none	0199.013			``	n.a.		
Bacchylides					Hymnorum fragmenta								new collection	none	none	none	0199.014			``	n.a.		
Bacchylides					Paeanes								new collection	none	none	none	0199.015			``	n.a.		
Bacchylides					Prosodia Fragment								new collection	none	none	none	0199.016			``	n.a.		
Bacchylides					Partheneia Fragmenta								new collection	none	none	none	0199.017			``	n.a.		
Bacchylides					Hyporchemata (fragmenta)								new collection	none	none	none	0199.018			``	n.a.		
Bacchylides					Erotica								new collection	none	none	none	0199.019			``	n.a.		
Bacchylides					Encomia								new collection	none	none	none	0199.020						
Bacchylides					Fragmenta ex operibus incertis								new collection	none	none	none	0199.021			``	n.a.		
Bacchylides					Epigrammata (other)								new collection	none	none	none	0199.023 (0199.009)			``	n.a.		
Bacis					Epigrammata								new collection	none	none	none	0142.001			yes(dnb)	yes	http://www.brillonline.nl/subscriber/entry?entry=bnp_e211770	
Bacon, Roger					Opus Maius. Selections.								new collection	none	stoa0048b-stoa001	none	none			yes	n.a.		
Baebius Macer, Marcus					Fragmenta								new collection	none	stoa0048c-stoa001	none	none			yes (dnb)	no	http://www.brillonline.nl/subscriber/entry?entry=bnp_e211080; http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;rgn=full%20text;idno=ACL3129.0002.001;didno=ACL3129.0002.001;view=image;seq=00000893	
Balbillus					Fragmenta								new collection	none	stoa0048d-stoa001	none	none			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0463.html	
Balbus, L. Cornelius					Fragmenta								new collection	none	stoa0049a-stoa001	none	none			yes	n.a.		
Balbus, T. Ampius					Fragmenta								new collection	none	stoa0049b-stoa001	none	none			yes(dnb)	yes	http://www.ancientlibrary.com/smith-bio/0464.html	
Balde, Jakob					Lyricorum. Selections.								new collection	none	stoa0049c-stoa001	none	none			yes	n.a.		
Baptista, Mantuanus,					Eclogues. Selections.								new collection	none	stoa0050a-stoa001	none	none			yes	n.a.		
Barbucallus (Joannes)					Epigrammata								new collection	none	none	none	4051.001			yes(dnb)	no	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;q1=Barbucallus;rgn=full%20text;idno=ACL3129.0001.001;didno=ACL3129.0001.001;view=image;seq=00000476	
Basil					Epistulae								new collection	none	none	none	2040.004			yes	need to enhance		
Basilides Scythopolitanus					Fragmentum								new collection	none	none	none	2398.001			yes(dnb)	yes		
Basilius (one of twelve sapientes)					De XII libris Aeneidos								new collection	none	stoa0027b-stoa003	none	none			no	yes (listed under record for Carmina Duodecim Sapientum)	one of twelve sapientes (Carimina duodecim sapientum)--authority record for Basilius in files is for different Basilius	
Bato Comicus					Fragmenta								new collection	none	none	none	0425.001			yes (dnb)	yes		
Bede					Hymni Tredecim								new collection	none	stoa0054-stoa002	none	none			``	n.a.	Assigned to De Ratione Temporum-but this is part of the Hymni Tredecim	
Bede					Epistolae								new collection	none	stoa0054-stoa004, stoa0054-stoa005,	none	none			``	n.a.		
Bede					Historia Ecclesiastica								Part of Perseus 4.0 and new collection	Perseus:abo:bede,001	stoa0054-stoa006	none	none	731 A.D.		yes	n.a.		
Bede					Homiliae\Proverbia								new collection	none	stoa0054-stoa007	none	none		1101	``	n.a.		
Bede					Vita Metrica Sancti Cuthberti								new collection	none	stoa0054-stoa008	none	none		2020	``	n.a.		
Bede					Vita Prosaica Sancti Cuthberti								new collection	none	stoa0054-stoa008	none	none		8968	``	n.a.		
Bede					Passio Sancti Justini Martyris								new collection	none	stoa0054-stoa009	none	none		4580	``	n.a.		
Bede					Vita sanctorum abbatum								new collection	none	stoa0054-stoa009	none	none			``	n.a.	There are identifiers for stoa0054-stoa010, and stoa0054-stoa011 but we don't have these works	
Bede					Beati Felicis Confessoris								new collection	none	stoa0054-stoa012	none	none		2873	``	n.a.		
Bede					Carmina Dubia								new collection	none	stoa0054-stoa013	none	none			``	n.a.		
Bede					De Meditatione Passionis Christi Per Septem Diei Horas Libellus								new collection	none	stoa0054-stoa014	none	none			``	n.a.		
Bede					De Officiis Libellus								new collection	none	stoa0054-stoa015	none	none			``	n.a.		
Bede					De Remediis Peccatorum								new collection	none	stoa0054-stoa016	none	none			``	n.a.		
Bede					De Schematibus Et Tropi								new collection	none	stoa0054-stoa017	none	none			``	n.a.		
Bede					De Septem Verbis Christi in Cruce								new collection	none	stoa0054-stoa018	none	none			``	n.a.		
Bede					Excerpta ex Patribus, Collectanea								new collection	none	stoa0054-stoa019	none	none			``	n.a.		
Bede					Libellum Precum								new collection	none	stoa0054-stoa020	none	none			``	n.a.		
Bede					Martyrologia								new collection	none	stoa0054-stoa021	none	none		2873	``	n.a.		
Bede					Martyrologium Poeticum								new collection	none	stoa0054-stoa022	none	none			``	n.a.		
Bede					Sex Formulae Orationes								new collection	none	stoa0054-stoa023	none	none			``	n.a.		
Bede					Tres Orationes								new collection	none	stoa0054-stoa024	none	none			``	n.a.		
Bembo, Pietro					Carmina. Selections.								new collection	none	stoa0054b-stoa001	none	none			yes	n.a.		
Bernard of Clairvaux					Hymnus. Selections.								new collection	none	stoa0056a-stoa001	none	none			yes	n.a.		
Bernard of Cluny					De Contemptu Mundi. Selections.								new collection	none	stoa0056b-stoa001	none	none			yes	n.a.		
Berosus					Fragmenta								new collection	none	none	none	1222.001			yes	need to enhance		
Besantinus					Epigrammata								new collection	none	none	none	0144.001			yes(dnb)	yes	http://www.ancientlibrary.com/smith-bio/0494.html	
Bianor					Epigrammata								new collection	none	none	none	0145.001			yes(dnb)	yes	http://www.ancientlibrary.com/smith-bio/0495.html	
Bias Prienaeus					Fragmenta								new collection	none	none	none	1223.001			yes(dnb)	yes		
Bibaculus (M. Furius)					Carmina 								new collection	none	none	432.1	none			yes	n.a.		
Bion					Epitaphius Adonis								new collection	none	none	none	0036.001			yes	n.a.		
Bion					Epithalamium Achillis et Deidameiae [Sp.]								new collection	none	none	none	0036.002			``	``		
Bion					Fragmenta								new collection	none	none	none	0036.003			``	``		
Bion Proconnesius					Fragmenta								new collection	none	none	none	1871.003			yes	need to enhance		
Biottus Comicus					Fragmenta								new collection	none	none	none	1792.001			no	yes		
Biotus Tragicus					Fragmenta								new collection	none	none	none	0348.001			yes(Dnb)	yes		
Bodin, Jean					Colloquium heptaplomeres. Selections.								new collection	none	stoa0057a-stoa001	none	none			yes	n.a.		
Boethius					Consolation of Philosophy								Part of Perseus 4.0	Perseus:abo:ltan,00001	stoa0058-stoa001	none	none	522-524 A.D.		yes	n.a.		
Boethius					De Institutione Musica								new collection	none	stoa0058-stoa002	none	none			``	``		
Boethius					Quomodo Substantiae in Eo Quod Sint Bonae Sint Cum Non Sint Substanialia Bona								new collection	none	stoa0058-stoa003	none	none			``	``		
Boethius					Brevis Fidei Christianae Complexio (De Fide Catholica)								new collection	none	stoa0058-stoa006	none	none			``	``		
Boethius					Commentarii in librum Aristotelis de interpretatione								new collection	none	stoa0058-stoa022	none	none			``	``		
Boethius					De Geometria								new collection	none	stoa0058-stoa014	none	none			``	``		
Boethius					De Institutione Arithmetica								new collection	none	stoa0058-stoa009	none	none			``	``		
Boethius					Liber De Persona et Duabus Naturis Contra Eutychen Et Nestorium								new collection	none	stoa0058-stoa023	none	none			``	``		
Boethius					Quomodo Trinitas Unus Deus Ac Non Tres Dii (De Trinitate)								new collection	none	stoa0058-stoa025	none	none			```	``		
Boethius					Utrum Pater Et Filius Ac Spiritus Sanctus De Divintate Substantialiter Praedicentur Liber								new collection	none	stoa0058-stoa028	none	none			``	``		
Boethus Stoicus					Fragmenta								new collection	none	none	none	2397.001			yes(dnb)	yes		
Boethus Tarsensis					Epigrammata								new collection	none	none	none	0146.001			yes(dnb)	yes	http://www.ancientlibrary.com/smith-bio/0507.html	
Bonaventure, Saint					Hymnus de Passione Domini								new collection	none	stoa0059-stoa002	none	none			yes	n.a.		
Bonosus					Carmina								new collection	none	stoa0060a-stoa001	none	none			yes(dnb)	yes	no Smith record	No record anywhere
Botryas					Fragmenta								new collection	none	none	none	1900.001			yes(dnb)	need to enhance		
Bruttedius Niger					Historiae								new collection	none	none	815.1	none			yes	n.a.		
Bruttius					Historiae								new collection	none	stoa0063b-stoa001	none	none			yes	no	http://www.ancientlibrary.com/smith-bio/0516.html	
Brutus, M. Junius, (Marcus Junius), fl. 146-136 B.C.					Iurisprudentia								new collection	none	none	10.1	none			yes	n.a.		
Butas					Fragmentum								new collection	none	none	none	2611.001			yes	yes	http://www.ancientlibrary.com/smith-bio/0527.html	
Cadmus, Milesius					Fragmenta								new collection	none	none	none	2338.002			yes	yes		
Caecilius Statius					Palliatae								new collection	none	none	13.1	none			yes	n.a.		
Caelestinus					Historicum Fragmentum								new collection	none	stoa0068-stoa001	none	none			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0541.html	
Caesar Strabo					Tragoediae								new collection	none	none	452.2	none			yes	n.a.		
Caesar, Julius					De Bello Gallico								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0448,001	stoa0069-stoa002	448.1	none	51BCE-45 BCE		yes	n.a.		
Caesar, Julius					De Bello Civili								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0448,002	stoa0069-stoa001	448.2	none	45BCE-44BCE		``	n.a.		
Caesar, Julius					Carmina								new collection	none	none	448.6	none			``	n.a.		
Caesar, Julius (pseudo)					De Bello Alexandrino								new collection	none	stoa0070-stoa002	428.1	none			``	n.a.		
Caesar, Julius (pseudo)					Bellum Africum								new collection	none	stoa0070-stoa001	426.1	none			``	n.a.		
Caesar, Julius (pseudo)					De Bello Hispaniensi								new collection	none	stoa0070-stoa003	430.1	none			``	n.a.		
Caesar, of Heisterbach					Miracolorum. Selection.								new collection	none	stoa0070a-stoa001	none	none			yes	n.a.		
Caesius Bassius					Carmen								new collection	none	none	812.1	none			yes	n.a.		
Calbulus					Versus								new collection	none	stoa0071a-stoa001	none	none			yes (dnb)	no	no Smith record	"Poem is mentioned in this entry, Ernst, Ulrich (Wuppertal RWG); Ernst, Ulrich (Wuppertal RWG); Ernst, Ulrich (Wuppertal RWG); Ernst, Ulrich (Wuppertal RWG); Ernst, Ulrich (Wuppertal RWG). ""Figured poem (CT)."" Brill's New Pauly. Antiquity volumes edited by: Hubert Cancik and Helmuth Schneider . Brill, 2007. Brill Online. Tufts University Library. 10 July 2007 <http://www.brillonline.nl/subscriber/entry?entry=bnp_e1311990> 
"
Calcidius					Ex Graecis Conversiones								new collection	none	none	2028.1	none			yes	n.a.		
Calleas Epigrammaticus					Epigrammata								new collection	none	none	none	0147.001			yes(dnb)	yes	http://www.ancientlibrary.com/smith-bio/0577.html (Callias, literary, 2)	Smith, Vol I, pg. 568
Callias Comicus					Fragmenta								new collection	none	none	none	0426.001			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;q1=Callias;rgn=full%20text;idno=acl3129.0001.001;didno=ACL3129.0001.001;view=image;seq=583;page=root;size=s;frm=frameset; http://www.brillonline.nl/subscriber/entry?entry=bnp_e606040	Smith, Callias, Literary, 1 (pg. 568) Brill: Callias, 6, writer of Old Comedy
Callias Comicus					Fragmentum								new collection	none	none	none	0426.003			yes(dnb)	yes		
Callias Historicus					Fragmenta								new collection	none	none	none	1235.001			yes (dnb)	yes		
Callicrates  					Fragmenta								new collection	none	none	none	1783.001			yes (dnb)	yes		
Callicrates Tyrius					Fragmenta								new collection	none	none	none	1940.001			yes(dnb)	yes	http://www.ancientlibrary.com/smith-bio/0579.html (Callicrates, literary, 3)	
Callimachus					Epigramma 								Part of Perseus 4.0	Perseus:abo:tlg,0533,003	none	none	0533.003	285BCE-245BCE		yes	need to enhance		
Callimachus					Fragmenta								new collection	Perseus:abo:tlg,0533,004	none	none	0533.005	285BCE-245BCE		``	n.a.		
Callimachus					Aetia								new collection	none	none	none	0533.006	285BCE-245BCE		``	n.a.		
Callimachus					Hecale								new collection	none	none	none	0533.009	285BCE-245BCE		``	n.a.		
Callimachus					Iambi								new collection	none	none	none	0533.007	285BCE-245BCE		``	n.a.		
Callimachus					Epigrammatum Fragmenta								new collection	none	none	none	0533.011	285BCE-245BCE		``	n.a.		
Callimachus					Incertae Sedis Fragmenta								new collection	none	none	none	0533.013	285BCE-245BCE		``	n.a.		
Callimachus					Hymn to Zeus								Part of Perseus 4.0	Perseus:abo:tlg,0533,015	none	none	0533.015	285BCE-245BCE		``	n.a.		
Callimachus					Hymn to Apollo								Part of Perseus 4.0	Perseus:abo:tlg,0533,016	none	none	0533.016	285BCE-245BCE		``	n.a.		
Callimachus					Hymn to Artemis								Part of Perseus 4.0	Perseus:abo:tlg,0533,017	none	none	0533.017	285BCE-245BCE		``	n.a.		
Callimachus					Hymn to Delos								Part of Perseus 4.0	Perseus:abo:tlg,0533,018	none	none	0533.018	285BCE-245BCE		``	n.a.		
Callimachus					Hymn to Athena								Part of Perseus 4.0	Perseus:abo:tlg,0533,019	none	none	0533.019	285BCE-245BCE		``	n.a.		
Callimachus					Hymn to Demeter								Part of Perseus 4.0	Perseus:abo:tlg,0533,020	none	none	0533.020	285BCE-245BCE		``	n.a.		
Callimachus					Epigrammata (from Greek Anthology)								new collection	none	none	none	0533.004	285BCE-245BCE		``	n.a.		
Callinicus, 3rd Cent.					Fragmenta								new collection	none	none	none	2189.003			yes	yes		
Callinicus, Monk					De vita S. Hypatii liber								new collection	none	none	none	2770.001			yes	yes		
Callinus of Ephesus					Fragmenta								new collection	none	none	none	0243.001			yes	yes		
Callippus					Fragmenta  								new collection	none	none	none	0427.001			yes (dnb)	yes		
Callippus Corinthius					Fragmenta  								new collection	none	none	none	2270.001			yes (dnb)	yes		
Callisthenes (Pseudo)					Res gestae Alexandri Macedonis								new collection	none	none	none	1386			yes	yes		
Callistratus					Descriptiones								new collection	none	none	none	4091.001			yes 	n.a.		
Callistratus Domitius					Fragmenta								new collection	none	none	none	1239.002			yes	need to enhance		
Callixenus Rhodius					Fragmenta								new collection	none	none	none	1240.003			yes	need to enhance		
Calpurnius Bibulus, Lucius					Commentarii Bruti								new collection	none	stoa0071c-stoa001	none	none			yes(dnb)	yes	http://www.ancientlibrary.com/smith-bio/0496.html	
Calpurnius Flaccus					Declamationes								new collection	none	stoa0072-stoa001	1100.1	none			yes	yes		
Calpurnius Siculus					Eclogae								new collection	none	stoa0073-stoa001	830.1	none			yes	n.a.		
Calvus, C. Licinius Macer					Carmina								new collection	none	none	456.1	none			yes	n.a.		
Candidus					Fragmenta								new collection	none	none	none	2504.002			yes(dnb)	yes	http://www.brillonline.nl/subscriber/entry?entry=bnp_e226150. http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;q1=Candidus;rgn=full%20text;idno=ACL3129.0001.001;didno=ACL3129.0001.001;view=image;seq=00000609	Candidus, no. 4 in Brill, Candidus Isaurus in Brill
Cantharus					Fragmenta								new collection	none	none	none	0428.001			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;rgn=full%20text;idno=ACL3129.0001.001;didno=ACL3129.0001.001;view=image;seq=00000611, http://www.brillonline.nl/subscriber/entry?entry=dnp_e608380	"Smith, Vol I, pg.   596, ""Cantharus, a comic poet of Athens…"", Brill, German only, Kantharos no. 4"
Cantharus					Fragmentum								new collection	none	none	none	0428.003			``	``		
Capito					Epigrammata								new collection	none	none	none	0149.001			yes(Dnb)	no	http://ancientlibrary.com/smith-bio/0607.html	
Capitolinus, Cornelius					Fragmenta								new collection	none	stoa0076b-stoa001	none	none			no	yes	Ficitiious author mentioned in SHA	part of Trebellius Pollo's Thirty Tyrants
Capitolinus, Julius					Antoninus Pius								new collection	none	stoa0324	2331.3	none			yes	n.a.		
Capitolinus, Julius					Marcus Antoninus								new collection	none	stoa0324	2331.4	none			``	n.a.		
Capitolinus, Julius					Verus								new collection	none	stoa0324	2331.5	none			``	n.a.		
Capitolinus, Julius					Pertinax								new collection	none	stoa0324	2331.8	none			``	n.a.		
Capitolinus, Julius					Clodius Albinus								new collection	none	stoa0324	2331.12	none			``	n.a.		
Capitolinus, Julius					Opellius Macrinus								new collection	none	stoa0324	2331.15	none			``	n.a.		
Capitolinus, Julius					The Two Maximini								new collection	none	stoa0324	2331.19	none			``	n.a.		
Capitolinus, Julius					The Three Gordians								new collection	none	stoa0324	2331.20	none			``	n.a.		
Capitolinus, Julius					Maximus and Balbinus								new collection	none	stoa0324	2331.21	none			``	n.a.		
Carcinus Tragicus (Junior)					Fragmenta								new collection	none	none	none	0327.001			yes(dnb)	yes		
Carphyllides					Epigrammata								new collection	none	none	none	0150.001			no	no	http://www.ancientlibrary.com/smith-bio/0624.html	
Cassian, John					Conlationes Patrum (Collationibus)-Selections								new collection	none	stoa0076c-stoa001	none	none			yes	need to enhance		
Cassian, John					Institutiones (Selections)								new collection	none	stoa0076c-stoa002	none	none				``		
Cassiodorus 					De Rhetorica								new collection	none	stoa0077-stoa004	none	none			yes	n.a.		
Cassius Dio					Historia Romana								new collection	none	none	none	0385.001			yes	n.a.		
Cassius Felix					De medicina								new collection	none	stoa0077a-stoa001	none	none			yes	n.a.		
Cassius Hemina					Annales								new collection	none	none	76.1	none			yes	n.a.		
Castiglione, Baldassarre					Carminum								new collection	none	stoa0077b-stoa001	none	none			yes	n.a.		
Castorion					Fragmentum								new collection	none	none	none	0382.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0637.html	
Cato the Censor					De Agricultura								new collection	none	stoa0079-stoa001	22.1	none			yes	yes		
Cato the Censor					De Agri Cultura; fragmenta								new collection	none	stoa0079	22.2	none			``	``		
Cato the Censor					Dicta Memorabilia 								new collection	none	stoa0079	22.3	none			``	``		
Cato the Censor					Epistulae								new collection	none	stoa0079	22.4	none			``	``		
Cato the Censor					De Medicina								new collection	none	stoa0079	22.5	none			``	``		
Cato the Censor					Incertorum librorum fragmenta								new collection	none	stoa0079	22.6	none			``	``		
Cato the Censor					Iurisprudentia								new collection	none	stoa0079	22.7	none			``	``		
Cato the Censor					De Re Militari								new collection	none	stoa0079	22.8	none			``	``		
Cato the Censor					Carmen de Moribus								new collection	none	stoa0079	22.9	none			``	``		
Cato the Censor					Orationes Fragmenta								new collection	none	stoa0079-stoa002	22.10	none			``	``		
Cato the Censor					Origines								new collection	none	stoa0079-stoa003	22.11	none			``	``		
Cato the Censor					De Rhetorica								new collection	none	stoa0079	22.12	none			``	``		
Cato Africanus					Carmina								new collection	none	stoa0080a-stoa001	none	none			yes(dnb)	yes		
Catullus					Carmina								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0472,001	stoa0081-stoa001	472.1	none	60BCE-50BCE		yes	n.a.		
Catullus poeta					Mimus								new collection	none	stoa0081a-stoa001	none	none			yes(Dnb)	yes		
Cedeides					Testimonia								new collection	none	none	none	tlg-cedeides			no	yes		
Cebes of Thebes					Cebetis Tabula								new collection	none	none	none	1247.001			yes	yes		
Celsus, Aulus Cornelius					De Medicina								Only Part of Perseus 4.0 and new collection	Perseus:abo:phi,0836,002	stoa0082-stoa001	836.2	none	14-37 A.D.		yes	n.a.		
Censorinus					De die natali liber								new collection	none	stoa0084-stoa001	none	none			yes	n.a.		
Censorinus					De metris fragmentum								new collection	none	stoa0084-stoa002	none	none						
Censorinus					De musica fragmentum								new collection	none	stoa0084-stoa003	none	none						
Cephalas, Constantinus					Epigrammata								new collection	none	none	none	9013.001			yes	n.a.		
Cephisodorus					Fragmenta								new collection	none	none	none	0429.001			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;q1=Cephisodorus;rgn=full%20text;idno=acl3129.0001.001;didno=acl3129.0001.001;view=image;seq=00000683, http://www.brillonline.nl/subscriber/entry?entry=bnp_e612540	"Smith, Vol I, pg. 668, Cephisodorus, ""an Athenian comic poet…"", Brill, Cephisorodus, 1, writer of Old comedy"
Cephisodorus Thebanus					Fragmenta								new collection	none	none	none	1927.001			yes (dnb)	yes		
Cercidas					Fragmenta								new collection	none	none	none	1250.001			yes	n.a.		
Cerealius					Epigrammata								new collection	none	none	none	0151.001			yes(Dnb)	yes	http://www.ancientlibrary.com/smith-bio/0682.html	
Chaeremon					Fragmenta								new collection	none	none	none	0328.001			yes	yes		
Chaeremon Epigrammaticus					Epigrammata								new collection	none	none	none	0152.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0687.html (according to Smith the tragic poet may also be the epigrammatist)	
Chaerion Comicus					Fragmenta								new collection	none	none	none	1795.001			yes (dnb)	yes		
Chares Tragicus					Fragmenta								new collection	none	none	none	1256.001			yes (dnb)	yes		
Charicles					Fragmenta								new collection	none	none	none	2263.001			yes (dnb)	need to enhance		
Chariclides					Fragmenta								new collection	none	none	none	0430.001			yes (dnb)	yes		
Chariton					De Chaerea et Callirhoe								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0554,001	none	none	0554.001			yes	n.a.		
Charlemagne					Disputatio de rhetorica et de virtutibus								new collection	none	stoa0085c-stoa001	none	none			yes	n.a.		
Charon Lampsacenus					Fragmenta								new collection	none	none	none	1258.001			yes(dnb)	yes		
Charon Naucratites					Fragmenta								new collection	none	none	none	2421.001			yes	need to enhance		
Chersias Epicus					Fragmentum Epicum								new collection	none	none	none	1260.002			yes (dnb)	need to enhance		
Chilon Lyricus					Fragmenta								new collection	none	none	none	1261.001			yes(dnb)	yes		
Chilon Lyricus					Epistula								new collection	none	none	none	0386.001			``	``		
Chionides					Fragmenta								new collection	none	none	none	0431.001			yes(dnb)	yes		
Choerilus Tragicus					Fragmenta								new collection	none	none	none	0302.001			yes (dnb)	need to enhance		
Choeroboscus, Georgius					Scholia in Hephaestionem								new collection	none	none	none	4093.007			yes	n.a.		
Choeroboscus, Georgius (Georgius Grammaticus)					Anacreontea								new collection	none	none	none	3187.001			``	``		
Christodorus					Epigrammata								new collection	none	none	none	2119.002			yes	yes	http://www.ancientlibrary.com/smith-bio/0707.html	
Christodorus					Fragmentum								new collection	none	none	none	2119.003			``	``		
Christodorus					Testimonium								new collection	none	none	none	2119.004			``	``		
Chrysippus					Fragmenta Logica et Physica								new collection	none	none	none	1264.001			yes	yes		
Chrysippus					Fragmenta Moralia								new collection	none	none	none	1264.002			``	``		
Chrysippus					Fragmenta quae ad explicationem carminum Homericorum pertinent								new collection	none	none	none	1264.003			``	``		
Chrysippus					Fragmenta ad singulos libros relata								new collection	none	none	none	1264.004			``	``		
Cicero					Admiranda								new collection	none	none	474.70x11	none			yes	no		
Cicero					Academica (Academica posteriora, Academic Priora)								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,045	stoa0087-stoa001, stoa0087-stoa002	474.45	none			yes	no		
Cicero					Alcyones								new collection	none	none	474.62x06	none			``	``		
Cicero					Arati Phaenomena								new collection	none	stoa0087-stoa003	474.60	none			``	n.a.		
Cicero					Arati Prognostica								new collection	none	stoa0087-stoa004	474.71	none			``	n.a.		
Cicero					Brutus								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,039	stoa0087-stoa005	474.39	none			``	n.a.		
Cicero					Cato								new collection	none	none	474.70x04	none			``	n.a.		
Cicero					Cato Maior de Senectute								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,051	stoa0087-stoa006	474.51	none			``	n.a.		
Cicero					Cum a Ludis Contionem Avocavit								new collection	none	none	474.68x10	none			``	n.a.		
Cicero					Cum Quaestor Lilybaeo Decederet								new collection	none	none	474.68x01	none			``	n.a.		
Cicero					Commentarii Causarum								new collection	none	none	474.63	none			``	n.a.		
Cicero					Consolatio								new collection	none	none	474.70x07	none			``	n.a.		
Cicero					Contra Contionem Q. Metelli								new collection	none	none	474.68x12	none			``	``		
Cicero					De Auguriis								new collection	none	none	474.70x03	none			``	``		
Cicero					De Chorographia								new collection	none	none	474.70x10	none			``	``		
Cicero					De Consiliis Suis								new collection	none	none	474.70x08	none			``	n.a.	Part of Fragmenta	
Cicero					De consolatu suo								new collection	none	stoa0087-stoa007	none	none			``	n.a.		
Cicero					De Divinatione								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,053	stoa0087-stoa008	474.53	none			``	n.a.		
Cicero					De Domo Sua								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,020	stoa0087-stoa009	474.20	none	57BCE		``	n.a.	http://en.wikipedia.org/wiki/Writings_of_Marcus_Tullius_Cicero#Speeches	
