Authors	Work Title	Volume	Status	ABOS	STOA	PHI or BHL	TLG	Perseus Identifier	Authority Record	Language	Notes
Homerica-Batrachomyomachia	Batrachomyomachia Homerica	Corpusculum poesis epicae graecae ludibundae	new collection	none	none	none	1220.001		yes	Greek	
Homerica-Batrachomyomachia	Batrachomyomachia Homerica	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	1220.001		yes	Greek	
Homerica-Cercopes	Cercopes	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	none		no	Greek	
Homerica-Cypria	Cypria	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	1296.001		no	Greek	
Homerica-Epigoni	Epigoni	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	1351.001		no	Greek	
Homerica-Ilias Parva	Ilias Parva	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	1444.001		no	Greek	
Homerica-Iliu Persis	Iliu Persis	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	1445.001		no	Greek	
Homerica-Margites	Margites	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	0253.001		no	Greek	
Homerica-Nostoi	Nostoi	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	1541.001		no	Greek	
Homerica-Oechaliae Halosis	Oechaliae halosis	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	1546.001		no	Greek	
Homerica-Oedipodea	Oedipodea	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	1547.001		no	Greek	
Homerica-Telegonia	Telegonia	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	4163.001		no	Greek	
Homerica-Thebaid	Thebaid	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	1712.001		no	Greek	
Homerica-Titanomachia	Titanomachia	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	1737.001		no	Greek	
Iambica Adespota	Fragmenta Iambica Adespota	Anthologia Lyrica (Hiller-1897); Anthologia Lyrica Graeca, Volume 1, 1925, PLG Vol III	new collection	none	none	none	1821.001		n.a.	Greek	
Incerti	Incerti Panegyricus Maximiano et Constantino	Panegyrici Latini	new collection	none	stoa0353-stoa001	none	none		n.a.	Latin	
Incerti	Incerti Panegyricus Constantino Augusto Dictus	Panegyrici Latini	new collection	none	stoa0353-stoa002	none	none		n.a.	Latin	
Lyrica Adespota	Fragmenta Lyrica	Anthologia Lyrica Graeca, Vol II, 1925	new collection	none	none	none	0230.001		n.a.	Greek	
Lyrica Adespota	Fragmenta Melica Adespota	Anthologia Lyrica (Hiller-1897); Anthologia Lyrica Graeca, Volume 1, 1925, Greek Melic Poets, PLG Vol III	new collection	none	none	none	0297.001		n.a.	Greek	
Lyrica Adespota	Fragmenta Melica Chorica Adespota	Anthologia lyrica graeca, Volume II, 1925	new collection	none	none	none	0297.001		n.a.	Greek	
Lyrica Adespota	Adespota	Lyra Graeca, Vol III	new collection	none	none	none	0230.001		n.a.	Greek	
Marmor Parium	Marmor Parium	FHG Vol I	new collection	none	none	noen	2432.001		n.a.	Greek	
Mithridatis Epistulae	Epistulae	Epistolographi Graeci	new collection	none	none	none	0039.001		n.a.	Greek & Latin	
Paeanes	Paean Delphicus i in Apollinem	Greek Melic Poets	new collection	none	none	none	1203.005		n.a.	Greek	
Paraphrases in Dionysium Periegetam	In Dionysii periegetae orbis descriptionem	Dionysius Pereigetes Graece et Latine	new collection	new collection	none	none	4174.001		n.a.	Greek	
Paraphrases in Dionysium Periegetam	In Dionysii periegetae orbis descriptionem	Aristarchs Homerische Textkritik	new collection	none	none	none	4174.002		n.a.	Greek	
Phoronis	Phoronis Fragmenta	EGF	new collection	none	none	none	1607.002		n.a.	Greek	
Priapea	Priapea	PLM, Vol I, Petronius (1882-Heraeus)	new collection	none	stoa0342	1103.1	none		no	Latin	
Pseudo-Ovid	Consolatio ad Liviam (Epicedion Drusi)	Oxford Book of Latin Verse	new collection	none	none	959.15	none		yes	Latin	
Pseudo-Ovid	Consolatio ad Liviam (Epicedion Drusi)	Poetae Latini Minores, Vol I	new collection	none	none	959.15	none		``	Latin	
Pseudo-Ovid	Nux Elegia	Poetae Latini Minores, Vol I	new collection	none	stoa0216-stoa011	959.13	none		yes	Latin	
Scholia in Dionysium Byzantium	Scholia in Dionysii Byzantii per Bosporum navigationem (scholia recentiora)		new collection	none	none	none	5018.001		no	Greek	
Scholia in Dionysium Periegetam	Scholia in Dionysium Periegetam	Aristarchs Homerische Textkritik	new collection	none	none	none	5019.002		no	Greek	
Scholia in Dionysium Periegetam	Scholia in Dionysium Periegetam	Dionysius Pereigetes Graece et Latine	new collection	none	none	none	5019.001		no	Greek	
Scholia in Euclidem	Scholia in Euclidis Elementa	Euclidis Opera Omnia, Vol 5	new collection	none	none	none	5022.001		no	Greek	
Scholia in Euclidem	Scholia in Data	Euclidis Opera Omnia, Vol 6	new collection	none	none	none	5022.002		no	Greek	
Scholia in Euclidem	Scholia in Euclidis Optica	Euclidis Opera Omnia, Vol 7	new collection	none	none	none	5022.003		no	Greek	
Scholia in Euclidem	Scholia in opticorum recensionem Theonis	Euclidis Opera Omnia, Vol 7	new collection	none	none	none	5022.004		no	Greek	
Scholia in Euclidem	Scholia in Euclidis catoptrica	Euclidis Opera Omnia, Vol 7	new collection	none	none	none	5022.005		no	Greek	
Scholia in Euclidem	Scholia in Euclidis phaenomena	Euclidis Opera Omnia, Vol 8	new collection	none	none	none	5022.006		no	Greek	
Scholia in Euclidem	Scholia in Euclidis data et catoptrica	Euclidis Opera Omnia, Vol 8	new collection	none	none	none	5022.007		no	Greek	
Scholia in Nicandrum	Scholia et glossae in Nicandri theriaca (scholia vetera et recentiora) 	Theriaca et Alexapharmaca	new collection	none	none	none	5031.001		no	Greek	
Scholia in Nicandrum	Scholia et glossae in Nicandri alexipharmaca (scholia vetera et recentiora)	Theriaca et Alexapharmaca	new collection	none	none	none	5031.002		no	Greek	
Scholia In Iamblichum	Scholia in librum Iamblichi in Nicomachi arithmeticam introductionem (scholia vetera et recentiora)	Iamblichi In Nicomachi Arithmeticam introductionem liber	new collection	none	none	none	5027.001		no	Greek	
Septem Sapientes	Scolia   	Anthologia Lyrica (Hiller-1897); Anthologia Lyrica Graeca, Volume 2, 1925, Greek Melic Poets	new collection	none	none	none	1667.006		no	Greek	
Tragica Adespota	Fragmenta Tragica Adespota	Tragicorum Graecorum Fragmenta	new collection	none	none	none	1738.001		n.a.	Greek	
Twelve Tables	Lex Twelve Tabularum	Remains of Old Latin, Vol III	new collection	none	stoa0330	none	none		none	Latin	
Various	Sylloge Locorum Physiognomonicorum: Loci Scriptorum Latinorum	Scriptores physiognomonici graeci et latini, Vol II	new collection	none	none	none	none		no	Greek	
Various  	Sylloge Locorum Physiognomonicorum: Loci Scriptorum Graecorum	Scriptores physiognomonici graeci et latini, Vol II	new collection	none	none	none	none		no	Latin	
Various (Theophilus, Sergius, Hyginus)	Vita Sancti Macarii Romani 	Vitae Patrum Sive Historiae Eremiticae Libri Decem, Book 1	new collection	none	none	BHL (5104)	none		no	Latin	
Various?	Anonymus kata Aisxrokerdeias	 Anthologia Lyrica Graeca, Volume 1, 1925; Anthologia Lyrica, Vol III, Iamborum Scriptores	new collection	none	none	none	uncertain		n.a.	Greek	
Vitae Homeri	<Plutarchi> De Homero 1	Plutarchi Morali, Vol 7 (Teubner)	new collection	none	none	none	1805.011		n.a.	Greek	
Vitae Homeri	<Plutarchi> De Homero 2	Plutarchi Morali, Vol 7 (Teubner)	new collection	none	none	none	1805.012		Greek		
Vitae Homeri	The Expedition of Amphiaraus	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	1805.010		no	Greek	
Vitae Homeri	Vitae Herodotea. Selections. (The Phocais)	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	1805.001		no	Greek	
