Authors	Work Title	Volume	Status	ABOS	STOA	PHI or BHL	TLG	Perseus Identifier	Authority Record	Language	Notes
Anonymi Epici et Lyrici	Epigrammata et populares versus in Augustum	Fragmenta Poetarum Romanorum	new collection	none	none	9500.18	none		no	Latin	
Anonymi Epici et Lyrici	Epistula Didonis ad Aeneam (Part of Anthologia Latina)	Poetae Latini minores, Vol IV	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Epitaphia	Poetae Latini Minores, Vol V	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Epitaphium Vitalis Mimi Filii Catonis	Poetae Latini minores, Vol III	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Ex Acilii Glabrionis Tabula	Fragmenta Poetarum Romanorum	new collection	none	none	9500.7	none		no	Latin	
Anonymi Epici et Lyrici	Georgicon Argumenta (Part of Anthologia Latina)	Poetae Latini minores, Vol IV	new collection	none	none	3211.3?	none		no	Latin	
Anonymi Epici et Lyrici	in Carbonem versus popularis	Fragmenta Poetarum Romanorum	new collection	none	none	9500.15	none		no	Latin	
Anonymi Epici et Lyrici	In equum mirae pernicitatis 	Poetae Latini Minores, Vol V	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Incerti    	Poetae Latini minores, Vol III	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Incerti Ad Filium Praecepta	Fragmenta Poetarum Romanorum	new collection	none	none	9500.10	none		no	Latin	
Anonymi Epici et Lyrici	Incerti Carmen Nelei	Fragmenta Poetarum Romanorum	new collection	none	none	9500.42	none		no	Latin & English	
Anonymi Epici et Lyrici	Incerti Carmeni Priami	Fragmenta Poetarum Romanorum	new collection	none	none	9500.5	none		no	Latin	
Anonymi Epici et Lyrici	Incerti de Crassitio Epigramma	Fragmenta Poetarum Romanorum	new collection	none	none	9500.20	none		no 	Latin	
Anonymi Epici et Lyrici	Incerti Epithalamium Laurentii Aliaque	Poetae Latini minores, Vol III	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Incerti Sententiae	Fragmenta Poetarum Romanorum	new collection	none	none	9500.3	none		no	Latin	
Anonymi Epici et Lyrici	Incertus de Triumpho Cupidinis	Fragmenta Poetarum Romanorum	new collection	none	none	9500.33	none		no	Latin	
Anonymi Epici et Lyrici	Maro Maecenati Salutem (Part of Anthologia Latina)	Poetae Latini minores, Vol IV	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Miltiades	Poetae Latini Minores, Vol V	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Nutricum Cantilena	Fragmenta Poetarum Romanorum	new collection	none	none	9500.9	none		no	Latin	
