urn|authority_name|canonical_id|mads_file|alt_ids|related_works|urn_status|redirect_to|created_by|edited_by|
urn:cite:perseus:primauth.29.1|"Aeschines Rhet"|tlg0104|"PrimaryAuthors/A/Aeschines%2C%20Epigrammatist/aeschines.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.30.1|"Aeschines Socraticus 4th cent. B.C"|tlg0673|"PrimaryAuthors/A/Aeschines%20Socraticus/n88038943.madsxml.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.31.1|"Aeschines"|tlg0026|"PrimaryAuthors/A/Aeschines/n82-32653.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.32.1|"Aeschrion Samius 4. Jh. v. Chr"|tlg0679|"PrimaryAuthors/A/Aeschrion/AeschrionSamius.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.33.1|"Aeschylus Alexandrinus 3./1. Jh. v. Chr"|tlg0321|"PrimaryAuthors/A/Aeschylus%20Alexandrinus/AeschylusAlexandrinus.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.34.1|"Aeschylus"|tlg0085|"PrimaryAuthors/A/Aeschylus/n79-55702.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.35.1|"Aesop"|tlg0096|"PrimaryAuthors/A/Aesop/n81-66350.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.36.1|"Aetius of Amida"|tlg0718|"PrimaryAuthors/A/Aetius%2C%20of%20Amida/AetiusAmida.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.37.1|"Afranius, Lucius"|phi0404|"PrimaryAuthors/A/Afranius%2C%20Lucius/n00-24409.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.38.1|"Agathias d. 582"|tlg4024|"PrimaryAuthors/A/Agathias%20Scholasticus/n50-43676.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.39.1|"Agathon Epigrammaticus Person der Antike"|tlg1775|"PrimaryAuthors/A/Agathon/agathon%28pseudo%29.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.40.1|"Agathon Tragicus ca. 445 v. Chr.- 401 v. Chr"|tlg0318|"PrimaryAuthors/A/Agathon%20Tragicus/agathon.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.41.1|"Agathyllus Arcas"|tlg2606|"PrimaryAuthors/A/Agathyllus%20Arcas/AgathyllusArcas.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.42.1|"Agennius Urbicus 4./5. Jh. n. Chr"|stoa0012a|"PrimaryAuthors/A/Agennius%20Urbicus/viaf42229983.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.43.1|"Agis Epigr"|tlg0105|"PrimaryAuthors/A/Agis/agis.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.44.1|"Agrippa, Marcus Vipsanius"|stoa0013a|"PrimaryAuthors/A/Agrippa/n85-17329.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.45.1|"Agrippina Minor 15-59"|stoa0013b|"PrimaryAuthors/A/Agrippina/n88-3773.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.46.1|"Alanus de Insulis d. 1202"|stoa0015|"PrimaryAuthors/A/Alanus%2C%20de%20Insulis/n50-35344.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.47.1|"Albinovanus Pedo"|phi0800|"PrimaryAuthors/A/Albinovanus%20Pedo/nr95-21137.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.48.1|"Albinus"|phi2002|"PrimaryAuthors/A/Albinus/albinus.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.49.1|"Alcaeus Comicus 5./4. Jh. v. Chr"|tlg0400|"PrimaryAuthors/A/Alcaeus%20Comicus/AlcaeusComicus.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.50.1|"Alcaeus Epigr"|tlg0106|"PrimaryAuthors/A/Alcaeus%20of%20Messene/AlcaeusofMessene.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.51.1|"Alcaeus"|tlg0383|"PrimaryAuthors/A/Alcaeus/n81-24909.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.52.1|"Alcibiades"|tlg0236|"PrimaryAuthors/A/Alcibiades/n85-196363.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.53.1|"Alcidamas 4th cent. B.C"|tlg0610|"PrimaryAuthors/A/Alcidamas/n87-855622.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.54.1|"Alcimenes Comicus 3. Jh. v. Chr"|tlg1780|"PrimaryAuthors/A/Alcimenes/alcimenes.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.55.1|"Alcimus Alethius, Latinus um 355 n. Chr"|stoa0019a|"PrimaryAuthors/A/Alcimus%20Alethius/AlcimusAlethius.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.56.1|"Alciphron"|tlg0640|"PrimaryAuthors/A/Alciphron/n85-017784.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.57.1|"Alcman"|tlg0291|"PrimaryAuthors/A/Alcman/n85-148658.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.58.1|"Alcuin 735-804"|stoa0020|"PrimaryAuthors/A/Alcuin/n50-42175.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.59.1|"Alexander Aetolus"|tlg0216|"PrimaryAuthors/A/Alexander%2C%20Aetolus/n00-36747.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.60.1|"Alexander Comicus 1. Jh. v. Chr"|tlg0401|"PrimaryAuthors/A/Alexander%20Comicus/AlexanderComicus.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.61.1|"Alexander Magnes 1. Jh. v. Chr"|tlg0107|"PrimaryAuthors/A/Alexander%20of%20Magnesia/AlexanderMagnes.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.62.1|"Alexander Polyhistor approximately 105 B.C.-approximately 35 B.C"|tlg1864|"PrimaryAuthors/A/Alexander%20Polyhistor/nr90028764.madsxml.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.63.1|"Alexander of Aphrodisias"|tlg0732|"PrimaryAuthors/A/Alexander%20of%20Aphrodisias/viaf95239377.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.64.1|"Alexander of Tralles ca. 525-ca. 605"|tlg0744|"PrimaryAuthors/A/Alexander%20of%20Tralles/n85-811814.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.65.1|"Alexander the Great 356 B.C.-323 B.C"|tlg0042|"PrimaryAuthors/A/Alexander%20the%20Great/n79004067.madsxml.xml"|""|"stoa0020b.stoa001"|published||feed_aggregator|
urn:cite:perseus:primauth.66.1|"Alexis ca. 372-270 B.C"|tlg0402|"PrimaryAuthors/A/Alexis%2C%20ca.%20372-270/n95-38772.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.67.1|"Alfius Avitus"|phi1203|"PrimaryAuthors/A/Alfius/nr95-21123.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.68.1|"Alpheius Mytilenensis 1 Jh. n. Chr"|tlg0108|"PrimaryAuthors/A/Alpheius%20of%20Mitylene/AlpheusofMitylene.mads.xml"|""|""|published||feed_aggregator|
